,3.4.1,3.4.2,3.4.3
Epochs Supervised, 50, 50, 50
Proxy task, NONE, MASK, OBSCURE
Training percentage, 10.00 %, 10.00 %, 10.00 %
Specialized subset, , , 

\textbf{Training metrics},,,
Best epoch, 47, 1, 48
Time to best epoch, 1h 6m, 0h 2m, 1h 9m

\textbf{Performance metrics},,,
Accuracy, 98.545 %, 96.728 %, 98.184 %
Detection rate, 88.111 %, 25.951 %, 98.897 %
Precision, 75.079 %, 58.556 %, 66.337 %
Specificity, 98.928 %, 99.326 %, 98.157 %
F1-Measure, 81.075 %, 35.964 %, 79.409 %
False alarm rate, 24.921 %, 41.444 %, 33.663 %
Missed alarm rate, 11.889 %, 74.049 %, 1.103 %
