,3.6.1,3.6.2,3.6.3,3.6.4
Proxy task, NONE, MASK, OBSCURE, AUTO
Epochs Supervised, 600, 600, 600, 600
Training percentage, 10.00 %, 10.00 %, 10.00 %, 10.00 %
Specialized subset, UNSW15_10, UNSW15_10, UNSW15_10, UNSW15_10

Training metrics,,,,
Best epoch, 563, 155, 161, 137
Time to best epoch, 0h 52m, 0h 14m, 0h 15m, 0h 12m

Performance metrics,,,,
Accuracy, 97.684 %, 96.471 %, 97.456 %, 97.979 %
Detection rate, 58.910 %, 0.000 %, 69.498 %, 88.334 %
Precision, 70.721 %, 100.000 %, 62.702 %, 65.989 %
Specificity, 99.106 %, 100.000 %, 98.482 %, 98.333 %
F1-Measure, 64.277 %, 0.000 %, 65.925 %, 75.544 %
False alarm rate, 29.279 %, 0.000 %, 37.298 %, 34.011 %
Missed alarm rate, 41.090 %, 100.000 %, 30.502 %, 11.666 %
