,3.2.1,3.2.2,3.2.3,3.2.4
Proxy task, NONE, MASK, OBSCURE, AUTO
Epochs Supervised, 200, 200, 200, 200
Training percentage, 1.00 %, 1.00 %, 1.00 %, 1.00 %
Specialized subset, , , , 

Training metrics,,,,
Best epoch, 83, 109, 97, 83
Time to best epoch, 0h 29m, 0h 39m, 0h 34m, 0h 29m

Performance metrics,,,,
Accuracy, 99.189 %, 99.105 %, 99.084 %, 99.091 %
Detection rate, 98.640 %, 98.746 %, 98.712 %, 98.679 %
Precision, 98.161 %, 97.736 %, 97.688 %, 97.748 %
Specificity, 99.374 %, 99.226 %, 99.209 %, 99.231 %
F1-Measure, 98.400 %, 98.239 %, 98.197 %, 98.211 %
False alarm rate, 1.839 %, 2.264 %, 2.312 %, 2.252 %
Missed alarm rate, 1.360 %, 1.254 %, 1.288 %, 1.321 %
