,,3.1.1,3.1.2,3.1.3,3.1.4
Class, Alias, Accuracy, Accuracy, Accuracy, Accuracy
Botnet ARES, 0, 93.333%, 94.595%, 2.632%, 1.316%
FTP-Patator, 1, 44.000%, 3.846%, 0.000%, 3.846%
SSH-Patator, 2, 96.850%, 94.902%, 0.000%, 92.126%
DDoS LOIT, 3, 99.915%, 99.968%, 99.915%, 99.979%
DoS GoldenEye, 4, 99.325%, 98.654%, 92.059%, 98.922%
DoS Hulk, 5, 99.996%, 99.991%, 99.892%, 99.991%
DoS Slowhttptest, 6, 98.804%, 98.801%, 92.840%, 98.558%
DoS slowloris, 7, 99.742%, 97.172%, 96.354%, 99.741%
Heartbleed, 8, 100.000%, 100.000%, 100.000%, 100.000%
Infiltration, 9, 93.066%, 93.237%, 91.957%, 92.937%
Benign, 10, 99.743%, 99.690%, 99.027%, 99.613%
PortScan - Firewall off, 11, 98.889%, 98.980%, 99.735%, 98.946%
PortScan - Firewall on, 12, 73.684%, 81.579%, 76.316%, 86.486%
SQL Injection, 13, 0.000%, 100.000%, 0.000%, 100.000%
XSS, 14, 0.000%, 0.000%, 0.000%, 0.000%

Benign, 10, 99.743%, 99.690%, 99.027%, 99.613%
Attack, !10, 98.576%, 98.584%, 97.905%, 98.427%
Overall, ALL, 99.448%, 99.411%, 98.743%, 99.313%
