,3.3.1,3.3.2,3.3.3
Epochs Supervised, 600, 600, 600
Proxy task, NONE, MASK, OBSCURE
Training percentage, 10.00 %, 10.00 %, 10.00 %
Specialized subset, CIC17_10, CIC17_10, CIC17_10

\textbf{Training metrics},,,
Best epoch, 587, 191, 251
Time to best epoch, 0h 53m, 0h 17m, 0h 23m

\textbf{Performance metrics},,,
Accuracy, 40.524 %, 92.099 %, 92.814 %
Detection rate, 1.232 %, 84.338 %, 81.151 %
Precision, 0.894 %, 84.401 %, 89.435 %
Specificity, 53.806 %, 94.725 %, 96.758 %
F1-Measure, 1.036 %, 84.370 %, 85.092 %
False alarm rate, 99.106 %, 15.599 %, 10.565 %
Missed alarm rate, 98.768 %, 15.662 %, 18.849 %
