,,1.3.1,3.1.1,3.2.1,3.3.1
Class, #, NONE, NONE, NONE, NONE
Botnet ARES, 0, 93.243%, 93.333%, 96.053%, 0.000%
FTP-Patator, 1, 64.000%, 44.000%, 3.846%, 0.000%
SSH-Patator, 2, 99.203%, 96.850%, 92.126%, 0.000%
DDoS LOIT, 3, 99.989%, 99.915%, 99.936%, 0.000%
DoS GoldenEye, 4, 100.000%, 99.325%, 96.486%, 0.000%
DoS Hulk, 5, 100.000%, 99.996%, 99.970%, 0.000%
DoS Slowhttptest, 6, 99.760%, 98.804%, 98.329%, 0.238%
DoS slowloris, 7, 100.000%, 99.742%, 94.241%, 43.152%
Heartbleed, 8, 100.000%, 100.000%, 100.000%, 100.000%
Infiltration, 9, 94.491%, 93.066%, 92.637%, 5.826%
Benign, 10, 99.920%, 99.743%, 99.374%, 53.806%
PortScan - Firewall off, 11, 99.142%, 98.889%, 99.736%, 0.650%
PortScan - Firewall on, 12, 73.684%, 73.684%, 86.486%, 8.108%
SQL Injection, 13, 0.000%, 0.000%, 0.000%, 0.000%
XSS, 14, 4.412%, 0.000%, 0.000%, 0.000%

Benign, 10, 99.920%, 99.743%, 99.374%, 53.806%
Attack, !10, 98.884%, 98.576%, 98.640%, 1.232%
Overall, ALL, 99.658%, 99.448%, 99.189%, 40.524%
