Class, #, Occurance, Right, ID
Botnet:ARES, 0, 76, 73, 96.053%
Brute Force:FTP-Patator, 1, 25, 10, 40.000%
Brute Force:SSH-Patator, 2, 254, 254, 100.000%
DDoS:LOIT, 3, 9359, 9359, 100.000%
DoS / DDoS:DoS GoldenEye, 4, 742, 733, 98.787%
DoS / DDoS:DoS Hulk, 5, 23199, 23184, 99.935%
DoS / DDoS:DoS Slowhttptest, 6, 420, 419, 99.762%
DoS / DDoS:DoS slowloris, 7, 387, 378, 97.674%
DoS / DDoS:Heartbleed, 8, 0, 0, 100.000%
Infiltration:Dropbox download - (Portscan + Nmap) from victim, 9, 7571, 6961, 91.943%
Normal, 10, 171377, 170985, 99.771%
PortScan:PortScan - Firewall off, 11, 15859, 15747, 99.294%
PortScan:PortScan - Firewall on, 12, 37, 28, 75.676%
Web Attack:Sql Injection, 13, 2, 0, 0.000%
Web Attack:XSS, 14, 68, 51, 75.000%

Benign, 10, 171377, 170985, 99.771%
Attack, !10, 57999, 57197, 98.617%
Overall, ALL, 229376, 228182, 99.479%
