Class, #, Occurance, Right, NONE
Botnet:ARES, 0, 76, 76, 100.000%
Brute Force:FTP-Patator, 1, 26, 8, 30.769%
Brute Force:SSH-Patator, 2, 254, 250, 98.425%
DDoS:LOIT, 3, 9375, 9359, 99.829%
DoS / DDoS:DoS GoldenEye, 4, 742, 713, 96.092%
DoS / DDoS:DoS Hulk, 5, 23187, 23003, 99.206%
DoS / DDoS:DoS Slowhttptest, 6, 421, 413, 98.100%
DoS / DDoS:DoS slowloris, 7, 381, 355, 93.176%
DoS / DDoS:Heartbleed, 8, 0, 0, 100.000%
Infiltration:Dropbox download - (Portscan + Nmap) from victim, 9, 7573, 5989, 79.084%
Normal, 10, 171376, 165997, 96.861%
PortScan:PortScan - Firewall off, 11, 15858, 13602, 85.774%
PortScan:PortScan - Firewall on, 12, 38, 27, 71.053%
Web Attack:Sql Injection, 13, 1, 1, 100.000%
Web Attack:XSS, 14, 68, 51, 75.000%

Benign, 10, 171376, 165997, 96.861%
Attack, !10, 58000, 53847, 92.840%
Overall, ALL, 229376, 219844, 95.844%
