Class, #, Occurance, Right, AUTO
Botnet:ARES, 0, 75, 71, 94.667%
Brute Force:FTP-Patator, 1, 26, 17, 65.385%
Brute Force:SSH-Patator, 2, 253, 250, 98.814%
DDoS:LOIT, 3, 9363, 9355, 99.915%
DoS / DDoS:DoS GoldenEye, 4, 736, 719, 97.690%
DoS / DDoS:DoS Hulk, 5, 23186, 15417, 66.493%
DoS / DDoS:DoS Slowhttptest, 6, 422, 416, 98.578%
DoS / DDoS:DoS slowloris, 7, 386, 374, 96.891%
DoS / DDoS:Heartbleed, 8, 0, 0, 100.000%
Infiltration:Dropbox download - (Portscan + Nmap) from victim, 9, 7573, 6810, 89.925%
Normal, 10, 171390, 168544, 98.339%
PortScan:PortScan - Firewall off, 11, 15860, 15634, 98.575%
PortScan:PortScan - Firewall on, 12, 37, 28, 75.676%
Web Attack:Sql Injection, 13, 1, 1, 100.000%
Web Attack:XSS, 14, 68, 58, 85.294%

Benign, 10, 171390, 168544, 98.339%
Attack, !10, 57986, 49150, 84.762%
Overall, ALL, 229376, 217694, 94.907%
