Class, #, Occurance, Right, COMPOSITE
Botnet:ARES, 0, 75, 73, 97.333%
Brute Force:FTP-Patator, 1, 26, 25, 96.154%
Brute Force:SSH-Patator, 2, 254, 250, 98.425%
DDoS:LOIT, 3, 9365, 9352, 99.861%
DoS / DDoS:DoS GoldenEye, 4, 742, 727, 97.978%
DoS / DDoS:DoS Hulk, 5, 23177, 16328, 70.449%
DoS / DDoS:DoS Slowhttptest, 6, 419, 412, 98.329%
DoS / DDoS:DoS slowloris, 7, 386, 385, 99.741%
DoS / DDoS:Heartbleed, 8, 0, 0, 100.000%
Infiltration:Dropbox download - (Portscan + Nmap) from victim, 9, 7573, 6084, 80.338%
Normal, 10, 171408, 168207, 98.133%
PortScan:PortScan - Firewall off, 11, 15845, 14217, 89.725%
PortScan:PortScan - Firewall on, 12, 37, 27, 72.973%
Web Attack:Sql Injection, 13, 1, 0, 0.000%
Web Attack:XSS, 14, 68, 59, 86.765%

Benign, 10, 171408, 168207, 98.133%
Attack, !10, 57968, 47939, 82.699%
Overall, ALL, 229376, 216146, 94.232%
