Class, #, Occurance, Right, PREDICT
Botnet:ARES, 0, 75, 74, 98.667%
Brute Force:FTP-Patator, 1, 26, 26, 100.000%
Brute Force:SSH-Patator, 2, 254, 252, 99.213%
DDoS:LOIT, 3, 9378, 9097, 97.004%
DoS / DDoS:DoS GoldenEye, 4, 740, 722, 97.568%
DoS / DDoS:DoS Hulk, 5, 23191, 17279, 74.507%
DoS / DDoS:DoS Slowhttptest, 6, 415, 415, 100.000%
DoS / DDoS:DoS slowloris, 7, 383, 382, 99.739%
DoS / DDoS:Heartbleed, 8, 0, 0, 100.000%
Infiltration:Dropbox download - (Portscan + Nmap) from victim, 9, 7558, 5905, 78.129%
Normal, 10, 171389, 168024, 98.037%
PortScan:PortScan - Firewall off, 11, 15861, 13699, 86.369%
PortScan:PortScan - Firewall on, 12, 37, 27, 72.973%
Web Attack:Sql Injection, 13, 1, 1, 100.000%
Web Attack:XSS, 14, 68, 66, 97.059%

Benign, 10, 171389, 168024, 98.037%
Attack, !10, 57987, 47945, 82.682%
Overall, ALL, 229376, 215969, 94.155%
