,2.6.1,2.6.2,2.6.3,2.6.4,2.6.5,2.6.6
Proxy task, NONE, PREDICT, OBSCURE, AUTO, ID, COMPOSITE
Epochs Supervised, 600, 600, 600, 600, 600, 600
Training percentage, 10.00 %, 10.00 %, 10.00 %, 10.00 %, 10.00 %, 10.00 %
Specialized subset, UNSW15_10, UNSW15_10, UNSW15_10, UNSW15_10, UNSW15_10, UNSW15_10

Training metrics,,,,,,
Best epoch, 191, 269, 467, 329, 11, 35
Time to best epoch, 0h 23m, 0h 32m, 0h 57m, 0h 39m, 0h 0m, 0h 6m

Performance metrics,,,,,,
Accuracy, 97.684 %, 97.729 %, 97.557 %, 97.848 %, 97.694 %, 97.637 %
Detection rate, 59.080 %, 59.688 %, 59.917 %, 70.190 %, 70.639 %, 59.271 %
Precision, 70.606 %, 71.429 %, 67.371 %, 69.348 %, 66.325 %, 69.432 %
Specificity, 99.098 %, 99.124 %, 98.937 %, 98.862 %, 98.685 %, 99.043 %
F1-Measure, 64.331 %, 65.033 %, 63.426 %, 69.767 %, 68.414 %, 63.951 %
False alarm rate, 29.394 %, 28.571 %, 32.629 %, 30.652 %, 33.675 %, 30.568 %
Missed alarm rate, 40.920 %, 40.312 %, 40.083 %, 29.810 %, 29.361 %, 40.729 %
