,,2.3.1,2.3.2,2.3.3,2.3.4,2.3.5,2.3.6
Class, #, NONE, PREDICT, OBSCURE, AUTO, ID, COMPOSITE
Botnet:ARES, 0, 100.000%, 98.667%, 97.333%, 94.667%, 28.378%, 97.333%
Brute Force:FTP-Patator, 1, 30.769%, 100.000%, 100.000%, 65.385%, 88.462%, 96.154%
Brute Force:SSH-Patator, 2, 98.425%, 99.213%, 99.213%, 98.814%, 99.213%, 98.425%
DDoS:LOIT, 3, 99.829%, 97.004%, 99.391%, 99.915%, 99.583%, 99.861%
DoS / DDoS:DoS GoldenEye, 4, 96.092%, 97.568%, 96.366%, 97.690%, 89.054%, 97.978%
DoS / DDoS:DoS Hulk, 5, 99.206%, 74.507%, 99.319%, 66.493%, 99.155%, 70.449%
DoS / DDoS:DoS Slowhttptest, 6, 98.100%, 100.000%, 99.043%, 98.578%, 91.905%, 98.329%
DoS / DDoS:DoS slowloris, 7, 93.176%, 99.739%, 95.349%, 96.891%, 99.742%, 99.741%
DoS / DDoS:Heartbleed, 8, 100.000%, 100.000%, 100.000%, 100.000%, 100.000%, 100.000%
Infiltration:Dropbox download - (Portscan + Nmap) from victim, 9, 79.084%, 78.129%, 66.425%, 89.925%, 59.158%, 80.338%
Normal, 10, 96.861%, 98.037%, 93.995%, 98.339%, 97.133%, 98.133%
PortScan:PortScan - Firewall off, 11, 85.774%, 86.369%, 90.892%, 98.575%, 89.815%, 89.725%
PortScan:PortScan - Firewall on, 12, 71.053%, 72.973%, 68.421%, 75.676%, 77.778%, 72.973%
Web Attack:Sql Injection, 13, 100.000%, 100.000%, 100.000%, 100.000%, 0.000%, 0.000%
Web Attack:XSS, 14, 75.000%, 97.059%, 89.552%, 85.294%, 1.515%, 86.765%

Benign, 10, 96.861%, 98.037%, 93.995%, 98.339%, 97.133%, 98.133%
Attack, !10, 92.840%, 82.682%, 92.634%, 84.762%, 91.048%, 82.699%
Overall, ALL, 95.844%, 94.155%, 93.651%, 94.907%, 95.595%, 94.232%
