,,1.1.1,2.1.1,2.2.1,2.3.1
Class, #, NONE, NONE, NONE, NONE
Botnet:ARES, 0, 94.667%, 94.667%, 98.667%, 100.000%
Brute Force:FTP-Patator, 1, 92.000%, 72.000%, 30.769%, 30.769%
Brute Force:SSH-Patator, 2, 100.000%, 98.024%, 93.254%, 98.425%
DDoS:LOIT, 3, 100.000%, 99.979%, 99.979%, 99.829%
DoS / DDoS:DoS GoldenEye, 4, 100.000%, 100.000%, 99.460%, 96.092%
DoS / DDoS:DoS Hulk, 5, 100.000%, 99.996%, 100.000%, 99.206%
DoS / DDoS:DoS Slowhttptest, 6, 100.000%, 99.763%, 99.284%, 98.100%
DoS / DDoS:DoS slowloris, 7, 100.000%, 100.000%, 96.875%, 93.176%
DoS / DDoS:Heartbleed, 8, 100.000%, 100.000%, 100.000%, 100.000%
Infiltration:Dropbox download - (Portscan + Nmap) from victim, 9, 94.906%, 92.913%, 91.557%, 79.084%
Normal, 10, 99.961%, 99.903%, 99.716%, 96.861%
PortScan:PortScan - Firewall off, 11, 99.981%, 99.299%, 98.839%, 85.774%
PortScan:PortScan - Firewall on, 12, 100.000%, 83.784%, 78.947%, 71.053%
Web Attack:Sql Injection, 13, 100.000%, 100.000%, 0.000%, 100.000%
Web Attack:XSS, 14, 88.060%, 91.045%, 50.000%, 75.000%

Benign, 10, 99.961%, 99.903%, 99.716%, 96.861%
Attack, !10, 99.306%, 98.828%, 98.408%, 92.840%
Overall, ALL, 99.796%, 99.632%, 99.385%, 95.844%
