,1.1.1,2.1.1,2.2.1,2.3.1
Proxy task, NONE, NONE, NONE, NONE
Epochs Supervised, 50, 50, 200, 600
Training percentage, 90.00 %, 10.00 %, 1.00 %, 10.00 %
Specialized subset, , , , CIC17_10

Training metrics,,,,
Best epoch, 45, 49, 191, 521
Time to best epoch, 10h 8m, 1h 34m, 1h 14m, 0h 52m

Performance metrics,,,,
Accuracy, 99.796 %, 99.632 %, 99.385 %, 95.844 %
Detection rate, 99.306 %, 98.828 %, 98.408 %, 92.840 %
Precision, 99.885 %, 99.711 %, 99.153 %, 90.918 %
Specificity, 99.961 %, 99.903 %, 99.716 %, 96.861 %
F1-Measure, 99.595 %, 99.268 %, 98.779 %, 91.869 %
False alarm rate, 0.115 %, 0.289 %, 0.847 %, 9.082 %
Missed alarm rate, 0.694 %, 1.172 %, 1.592 %, 7.160 %
