Class, #, Occurance, Right, NONE
Botnet:ARES, 0, 75, 70, 93.333%
Brute Force:FTP-Patator, 1, 25, 11, 44.000%
Brute Force:SSH-Patator, 2, 254, 246, 96.850%
DDoS:LOIT, 3, 9365, 9357, 99.915%
DoS / DDoS:DoS GoldenEye, 4, 741, 736, 99.325%
DoS / DDoS:DoS Hulk, 5, 23214, 23213, 99.996%
DoS / DDoS:DoS Slowhttptest, 6, 418, 413, 98.804%
DoS / DDoS:DoS slowloris, 7, 387, 386, 99.742%
DoS / DDoS:Heartbleed, 8, 0, 0, 100.000%
Infiltration:Dropbox download - (Portscan + Nmap) from victim, 9, 7557, 7033, 93.066%
Normal, 10, 171390, 170950, 99.743%
PortScan:PortScan - Firewall off, 11, 15843, 15667, 98.889%
PortScan:PortScan - Firewall on, 12, 38, 28, 73.684%
Web Attack:Sql Injection, 13, 1, 0, 0.000%
Web Attack:XSS, 14, 68, 0, 0.000%

Benign, 10, 171390, 170950, 99.743%
Attack, !10, 57986, 57160, 98.576%
Overall, ALL, 229376, 228110, 99.448%
