Class, #, Occurance, Right, AUTO
Botnet:ARES, 0, 76, 1, 1.316%
Brute Force:FTP-Patator, 1, 26, 1, 3.846%
Brute Force:SSH-Patator, 2, 254, 234, 92.126%
DDoS:LOIT, 3, 9364, 9362, 99.979%
DoS / DDoS:DoS GoldenEye, 4, 742, 734, 98.922%
DoS / DDoS:DoS Hulk, 5, 23203, 23201, 99.991%
DoS / DDoS:DoS Slowhttptest, 6, 416, 410, 98.558%
DoS / DDoS:DoS slowloris, 7, 386, 385, 99.741%
DoS / DDoS:Heartbleed, 8, 0, 0, 100.000%
Infiltration:Dropbox download - (Portscan + Nmap) from victim, 9, 7561, 7027, 92.937%
Normal, 10, 171403, 170740, 99.613%
PortScan:PortScan - Firewall off, 11, 15840, 15673, 98.946%
PortScan:PortScan - Firewall on, 12, 37, 32, 86.486%
Web Attack:Sql Injection, 13, 1, 1, 100.000%
Web Attack:XSS, 14, 67, 0, 0.000%

Benign, 10, 171403, 170740, 99.613%
Attack, !10, 57973, 57061, 98.427%
Overall, ALL, 229376, 227801, 99.313%
