Class, #, Occurance, Right, OBSCURE
Botnet:ARES, 0, 76, 74, 97.368%
Brute Force:FTP-Patator, 1, 26, 10, 38.462%
Brute Force:SSH-Patator, 2, 253, 239, 94.466%
DDoS:LOIT, 3, 9344, 9274, 99.251%
DoS / DDoS:DoS GoldenEye, 4, 741, 713, 96.221%
DoS / DDoS:DoS Hulk, 5, 23191, 15323, 66.073%
DoS / DDoS:DoS Slowhttptest, 6, 416, 401, 96.394%
DoS / DDoS:DoS slowloris, 7, 387, 350, 90.439%
DoS / DDoS:Heartbleed, 8, 0, 0, 100.000%
Infiltration:Dropbox download - (Portscan + Nmap) from victim, 9, 7577, 6952, 91.751%
Normal, 10, 171412, 166146, 96.928%
PortScan:PortScan - Firewall off, 11, 15849, 15710, 99.123%
PortScan:PortScan - Firewall on, 12, 36, 32, 88.889%
Web Attack:Sql Injection, 13, 1, 0, 0.000%
Web Attack:XSS, 14, 67, 3, 4.478%

Benign, 10, 171412, 166146, 96.928%
Attack, !10, 57964, 49081, 84.675%
Overall, ALL, 229376, 215227, 93.832%
