,,3.2.1,3.2.2,3.2.3,3.2.4
Class, #, NONE, MASK, OBSCURE, AUTO
Botnet:ARES, 0, 96.053%, 92.000%, 88.158%, 93.333%
Brute Force:FTP-Patator, 1, 3.846%, 0.000%, 44.000%, 8.000%
Brute Force:SSH-Patator, 2, 92.126%, 94.882%, 94.444%, 98.425%
DDoS:LOIT, 3, 99.936%, 99.989%, 99.925%, 99.968%
DoS / DDoS:DoS GoldenEye, 4, 96.486%, 98.649%, 97.820%, 97.564%
DoS / DDoS:DoS Hulk, 5, 99.970%, 99.927%, 99.957%, 99.948%
DoS / DDoS:DoS Slowhttptest, 6, 98.329%, 99.282%, 97.108%, 94.724%
DoS / DDoS:DoS slowloris, 7, 94.241%, 96.891%, 95.822%, 94.026%
DoS / DDoS:Heartbleed, 8, 100.000%, 100.000%, 100.000%, 100.000%
Infiltration:Dropbox download - (Portscan + Nmap) from victim, 9, 92.637%, 93.096%, 93.001%, 92.772%
Normal, 10, 99.374%, 99.226%, 99.320%, 99.231%
PortScan:PortScan - Firewall off, 11, 99.736%, 99.748%, 99.773%, 99.817%
PortScan:PortScan - Firewall on, 12, 86.486%, 76.316%, 72.973%, 75.000%
Web Attack:Sql Injection, 13, 0.000%, 0.000%, 0.000%, 0.000%
Web Attack:XSS, 14, 0.000%, 0.000%, 0.000%, 0.000%

Benign, 10, 99.374%, 99.226%, 99.320%, 99.231%
Attack, !10, 98.640%, 98.746%, 98.718%, 98.679%
Overall, ALL, 99.189%, 99.105%, 99.168%, 99.091%
