,3.1.1,3.1.2,3.1.3,3.1.4
Proxy task, NONE, MASK, OBSCURE, AUTO
Epochs Supervised, 50, 50, 50, 50
Training percentage, 10.00 %, 10.00 %, 10.00 %, 10.00 %
Specialized subset, , , , 

Training metrics,,,,
Best epoch, 47, 49, 49, 48
Time to best epoch, 1h 16m, 1h 19m, 1h 21m, 1h 13m

Performance metrics,,,,
Accuracy, 99.448 %, 99.411 %, 98.724 %, 99.313 %
Detection rate, 98.576 %, 98.584 %, 97.927 %, 98.427 %
Precision, 99.236 %, 99.079 %, 97.052 %, 98.851 %
Specificity, 99.743 %, 99.690 %, 98.994 %, 99.613 %
F1-Measure, 98.905 %, 98.831 %, 97.488 %, 98.639 %
False alarm rate, 0.764 %, 0.921 %, 2.948 %, 1.149 %
Missed alarm rate, 1.424 %, 1.416 %, 2.073 %, 1.573 %
