,1.3.1,3.1.1,3.2.1,3.3.1,3.4.1,3.5.1,3.6.1
Proxy task, NONE, NONE, NONE, NONE, NONE, NONE, NONE
Epochs Supervised, 50, 50, 200, 600, 50, 200, 600
Training percentage, 90.00 %, 10.00 %, 1.00 %, 10.00 %, 10.00 %, 1.00 %, 10.00 %
Specialized subset, , , , CIC17_10, , , UNSW15_10

Training metrics,,,,,,,
Best epoch, 45, 47, 83, 125, 47, 191, 563
Time to best epoch, 7h 35m, 1h 16m, 0h 28m, 0h 11m, 1h 5m, 1h 0m, 0h 52m

Performance metrics,,,,,,,
Accuracy, 99.658 %, 99.448 %, 99.189 %, 93.154 %, 98.545 %, 98.328 %, 97.684 %
Detection rate, 98.884 %, 98.576 %, 98.640 %, 82.865 %, 88.111 %, 84.212 %, 58.910 %
Precision, 99.762 %, 99.236 %, 98.161 %, 89.271 %, 75.079 %, 72.790 %, 70.721 %
Specificity, 99.920 %, 99.743 %, 99.374 %, 96.633 %, 98.928 %, 98.845 %, 99.106 %
F1-Measure, 99.321 %, 98.905 %, 98.400 %, 85.949 %, 81.075 %, 78.086 %, 64.277 %
False alarm rate, 0.238 %, 0.764 %, 1.839 %, 10.729 %, 24.921 %, 27.210 %, 29.279 %
Missed alarm rate, 1.116 %, 1.424 %, 1.360 %, 17.135 %, 11.889 %, 15.788 %, 41.090 %
