Hyperparameters,
Epochs Supervised, 200
Epochs Pretraining, 10
Batch size, 128
Proxy task, AUTO
Pretraining percentage, 80.00 %
Training percentage, 1.00 %
Validation percentage, 10.00 %
Specialized subset, 
Learning rate, 0.001
Random Seed, 500

Modelparameters,
Hidden size, 512
# Layers, 3

Training metrics,
Best epoch, 89
Time to best epoch, 0h 33m

Performance metrics,
Accuracy, 98.442 %
False alarm rate, 22.694 %
Missed alarm rate, 20.815 %
Detection rate, 79.185 %
Precision, 77.306 %
Specificity, 99.148 %
Recall, 79.185 %
F1-Measure, 78.234 %
