Hyperparameters,
Epochs Supervised, 200
Epochs Pretraining, 10
Batch size, 128
Proxy task, COMPOSITE
Pretraining percentage, 80.00 %
Training percentage, 1.00 %
Validation percentage, 10.00 %
Specialized subset, 
Learning rate, 0.001
Random Seed, 500

Modelparameters,
Hidden size, 512
# Layers, 3

Training metrics,
Best epoch, 109
Time to best epoch, 1h 15m

Performance metrics,
Accuracy, 98.329 %
False alarm rate, 24.509 %
Missed alarm rate, 21.934 %
Detection rate, 78.066 %
Precision, 75.491 %
Specificity, 99.071 %
Recall, 78.066 %
F1-Measure, 76.757 %
