Hyperparameters,
Epochs Supervised, 50
Epochs Pretraining, 10
Batch size, 128
Proxy task, OBSCURE
Pretraining percentage, 80.00 %
Training percentage, 10.00 %
Validation percentage, 10.00 %
Specialized subset, 
Learning rate, 0.001
Random Seed, 500

Modelparameters,
Hidden size, 512
# Layers, 3

Training metrics,
Best epoch, 25
Time to best epoch, 0h 44m

Performance metrics,
Accuracy, 98.721 %
False alarm rate, 17.029 %
Missed alarm rate, 19.603 %
Detection rate, 80.397 %
Precision, 82.971 %
Specificity, 99.394 %
Recall, 82.971 %
F1-Measure, 82.971 %
