Hyperparameters,
Epochs Supervised, 600
Epochs Pretraining, 10
Batch size, 128
Proxy task, OBSCURE
Pretraining percentage, 80.00 %
Training percentage, 10.00 %
Validation percentage, 10.00 %
Specialized subset, 10_flows15
Learning rate, 0.001
Random Seed, 500

Modelparameters,
Hidden size, 512
# Layers, 3

Training metrics,
Best epoch, 449
Time to best epoch, 0h 40m

Performance metrics,
Accuracy, 97.639 %
False alarm rate, 32.489 %
Missed alarm rate, 35.967 %
Detection rate, 64.033 %
Precision, 67.511 %
Specificity, 98.871 %
Recall, 64.033 %
F1-Measure, 65.726 %
