Hyperparameters,
Epochs Supervised, 600
Epochs Pretraining, 10
Batch size, 128
Proxy task, PREDICT
Pretraining percentage, 80.00 %
Training percentage, 10.00 %
Validation percentage, 10.00 %
Specialized subset, 10_flows15
Learning rate, 0.001
Random Seed, 500

Modelparameters,
Hidden size, 512
# Layers, 3

Training metrics,
Best epoch, 203
Time to best epoch, 0h 18m

Performance metrics,
Accuracy, 97.759 %
False alarm rate, 29.212 %
Missed alarm rate, 37.374 %
Detection rate, 62.626 %
Precision, 70.788 %
Specificity, 99.050 %
Recall, 70.788 %
F1-Measure, 70.788 %
