Hyperparameters,
Epochs Supervised, 200
Epochs Pretraining, 10
Batch size, 128
Proxy task, ID
Pretraining percentage, 80.00 %
Training percentage, 1.00 %
Validation percentage, 10.00 %
Specialized subset, 
Learning rate, 0.001
Random Seed, 500

Modelparameters,
Hidden size, 512
# Layers, 3

Training metrics,
Best epoch, 177
Time to best epoch, 1h 15m

Performance metrics,
Accuracy, 99.479 %
False alarm rate, 0.681 %
Missed alarm rate, 1.383 %
Detection rate, 98.617 %
Precision, 99.319 %
Specificity, 99.771 %
Recall, 98.617 %
F1-Measure, 98.967 %
