Hyperparameters,
Epochs Supervised, 50
Epochs Pretraining, 50
Batch size, 128
Proxy task, NONE
Pretraining percentage, 0.00 %
Training percentage, 10.00 %
Validation percentage, 10.00 %
Specialized subset, 
Learning rate, 0.001
Random Seed, 500

Modelparameters,
Hidden size, 512
# Layers, 3

Training metrics,
Best epoch, 49
Time to best epoch, 1h 34m

Performance metrics,
Accuracy, 99.632 %
False alarm rate, 0.289 %
Missed alarm rate, 1.172 %
Detection rate, 98.828 %
Precision, 99.711 %
Specificity, 99.903 %
Recall, 99.711 %
F1-Measure, 99.711 %
