Class, #, Occurance, Right, NONE
Botnet ARES, 0, 75, 71, 94.667%
FTP-Patator, 1, 25, 23, 92.000%
SSH-Patator, 2, 254, 254, 100.000%
DDoS LOIT, 3, 9366, 9366, 100.000%
DoS GoldenEye, 4, 732, 732, 100.000%
DoS Hulk, 5, 23183, 23183, 100.000%
DoS Slowhttptest, 6, 417, 417, 100.000%
DoS slowloris, 7, 386, 386, 100.000%
Heartbleed, 8, 0, 0, 100.000%
Infiltration, 9, 7558, 7173, 94.906%
Benign, 10, 171412, 171346, 99.961%
PortScan - Firewall off, 11, 15862, 15859, 99.981%
PortScan - Firewall on, 12, 38, 38, 100.000%
SQL Injection, 13, 1, 1, 100.000%
XSS, 14, 67, 59, 88.060%

Benign, 10, 171412, 171346, 99.961%
Attack, !10, 57964, 57562, 99.306%
Overall, ALL, 229376, 228908, 99.796%
