Hyperparameters,
Epochs Supervised, 600
Epochs Pretraining, 10
Batch size, 128
Proxy task, COMPOSITE
Pretraining percentage, 80.00 %
Training percentage, 10.00 %
Validation percentage, 10.00 %
Specialized subset, 10_flows
Learning rate, 0.001
Random Seed, 500

Modelparameters,
Hidden size, 512
# Layers, 3

Training metrics,
Best epoch, 41
Time to best epoch, 0h 5m

Performance metrics,
Accuracy, 94.229 %
False alarm rate, 6.126 %
Missed alarm rate, 17.448 %
Detection rate, 82.552 %
Precision, 93.874 %
Specificity, 98.178 %
Recall, 82.552 %
F1-Measure, 87.850 %
