, NONE, PREDICT, OBSCURE, AUTO, ID, COMPOSITE
Hyperparameters,,,,,,
Epochs Supervised, 200, 200, 200, 200, 200, 200
Epochs Pretraining, 200, 10, 10, 10, 10, 10
Batch size, 128, 128, 128, 128, 128, 128
Proxy task, NONE, PREDICT, OBSCURE, AUTO, ID, COMPOSITE
Pretraining percentage, 0.00 %, 80.00 %, 80.00 %, 80.00 %, 80.00 %, 80.00 %
Training percentage, 1.00 %, 1.00 %, 1.00 %, 1.00 %, 1.00 %, 1.00 %
Validation percentage, 10.00 %, 10.00 %, 10.00 %, 10.00 %, 10.00 %, 10.00 %
Specialized subset, , , , , , 
Learning rate, 0.001, 0.001, 0.001, 0.001, 0.001, 0.001
Random Seed, 500, 500, 500, 500, 500, 500

Modelparameters,,,,,,
Hidden size, 512, 512, 512, 512, 512, 512
# Layers, 3, 3, 3, 3, 3, 3

Training metrics,,,,,,
Best epoch, 191, 185, 199, 173, 177, 171
Time to best epoch, 1h 14m, 1h 19m, 1h 30m, 1h 14m, 1h 15m, 2h 25m

Performance metrics,,,,,,
Accuracy, 99.385 %, 99.563 %, 99.310 %, 99.378 %, 99.479 %, 99.521 %
False alarm rate, 0.847 %, 0.514 %, 1.124 %, 0.661 %, 0.681 %, 0.584 %
Missed alarm rate, 1.592 %, 1.219 %, 1.614 %, 1.808 %, 1.383 %, 1.314 %
Detection rate, 98.408 %, 98.781 %, 98.386 %, 98.192 %, 98.617 %, 98.686 %
Precision, 99.153 %, 99.486 %, 98.876 %, 99.339 %, 99.319 %, 99.416 %
Specificity, 99.716 %, 99.827 %, 99.622 %, 99.779 %, 99.771 %, 99.804 %
Recall, 99.153 %, 99.486 %, 98.876 %, 99.339 %, 99.319 %, 99.416 %
F1-Measure, 99.153 %, 99.486 %, 98.876 %, 99.339 %, 99.319 %, 99.416 %
