, NONE, NONE, NONE, NONE
Hyperparameters,,,,
Epochs Supervised, 50, 50, 200, 600
Epochs Pretraining, 50, 50, 200, 600
Batch size, 128, 128, 128, 128
Proxy task, NONE, NONE, NONE, NONE
Pretraining percentage, 0.00 %, 0.00 %, 0.00 %, 0.00 %
Training percentage, 90.00 %, 10.00 %, 1.00 %, 10.00 %
Validation percentage, 10.00 %, 10.00 %, 10.00 %, 10.00 %
Specialized subset, , , , 10_flows
Learning rate, 0.001, 0.001, 0.001, 0.001
Random Seed, 500, 500, 500, 500

Modelparameters,,,,
Hidden size, 512, 512, 512, 512
# Layers, 3, 3, 3, 3

Training metrics,,,,
Best epoch, 45, 49, 191, 593
Time to best epoch, 10h 8m, 1h 34m, 1h 14m, 0h 43m

Performance metrics,,,,
Accuracy, 99.796 %, 99.632 %, 99.385 %, 95.682 %
False alarm rate, 0.115 %, 0.289 %, 0.847 %, 7.376 %
Missed alarm rate, 0.694 %, 1.172 %, 1.592 %, 9.912 %
Detection rate, 99.306 %, 98.828 %, 98.408 %, 90.088 %
Precision, 99.885 %, 99.711 %, 99.153 %, 92.624 %
Specificity, 99.961 %, 99.903 %, 99.716 %, 97.574 %
Recall, 99.306 %, 98.828 %, 98.408 %, 90.088 %
F1-Measure, 99.595 %, 99.268 %, 98.779 %, 91.338 %
