Class, Alias, Occurance, Right, Accuracy
Botnet:ARES, 0, 76, 75, 98.684
Brute Force:FTP-Patator, 1, 26, 13, 50.000
Brute Force:SSH-Patator, 2, 256, 255, 99.609
DDoS:LOIT, 3, 9448, 9446, 99.979
DoS / DDoS:DoS GoldenEye, 4, 746, 745, 99.866
DoS / DDoS:DoS Hulk, 5, 23397, 23396, 99.996
DoS / DDoS:DoS Slowhttptest, 6, 422, 419, 99.289
DoS / DDoS:DoS slowloris, 7, 389, 377, 96.915
DoS / DDoS:Heartbleed, 8, 0, 0, 100.000
Infiltration:Dropbox download - (Portscan + Nmap) from victim, 9, 7636, 6876, 90.047
Normal, 10, 172928, 172328, 99.653
PortScan:PortScan - Firewall off, 11, 15993, 15693, 98.124
PortScan:PortScan - Firewall on, 12, 38, 30, 78.947
Web Attack:Sql Injection, 13, 1, 0, 0.000
Web Attack:XSS, 14, 68, 49, 72.059
Benign, 10, 172928, 172328, 99.653%
Attack, !10, 58496, 57374, 98.082%
Overall, ALL, 231424, 229702, 99.256%

Samples, 231424
Benign, 74.72%
Attack, 25.28%
