Class, Alias, Occurance, Right, Accuracy
Botnet:ARES, 0, 76, 74, 97.368
Brute Force:FTP-Patator, 1, 25, 11, 44.000
Brute Force:SSH-Patator, 2, 256, 255, 99.609
DDoS:LOIT, 3, 9450, 9449, 99.989
DoS / DDoS:DoS GoldenEye, 4, 747, 744, 99.598
DoS / DDoS:DoS Hulk, 5, 23394, 23381, 99.944
DoS / DDoS:DoS Slowhttptest, 6, 422, 420, 99.526
DoS / DDoS:DoS slowloris, 7, 390, 380, 97.436
DoS / DDoS:Heartbleed, 8, 0, 0, 100.000
Infiltration:Dropbox download - (Portscan + Nmap) from victim, 9, 7637, 6896, 90.297
Normal, 10, 172927, 172431, 99.713
PortScan:PortScan - Firewall off, 11, 15992, 15730, 98.362
PortScan:PortScan - Firewall on, 12, 38, 25, 65.789
Web Attack:Sql Injection, 13, 2, 0, 0.000
Web Attack:XSS, 14, 68, 54, 79.412
Benign, 10, 172927, 172431, 99.713%
Attack, !10, 58497, 57419, 98.157%
Overall, ALL, 231424, 229850, 99.320%

Samples, 231424
Benign, 74.72%
Attack, 25.28%
