Class, Alias, Occurance, Right, Accuracy
Botnet:ARES, 0, 76, 75, 98.684
Brute Force:FTP-Patator, 1, 25, 8, 32.000
Brute Force:SSH-Patator, 2, 256, 250, 97.656
DDoS:LOIT, 3, 9450, 9450, 100.000
DoS / DDoS:DoS GoldenEye, 4, 747, 743, 99.465
DoS / DDoS:DoS Hulk, 5, 23394, 23392, 99.991
DoS / DDoS:DoS Slowhttptest, 6, 422, 421, 99.763
DoS / DDoS:DoS slowloris, 7, 390, 379, 97.179
DoS / DDoS:Heartbleed, 8, 0, 0, 100.000
Infiltration:Dropbox download - (Portscan + Nmap) from victim, 9, 7637, 6885, 90.153
Normal, 10, 172927, 172258, 99.613
PortScan:PortScan - Firewall off, 11, 15992, 15633, 97.755
PortScan:PortScan - Firewall on, 12, 38, 25, 65.789
Web Attack:Sql Injection, 13, 2, 0, 0.000
Web Attack:XSS, 14, 68, 53, 77.941
Benign, 10, 172927, 172258, 99.613%
Attack, !10, 58497, 57314, 97.978%
Overall, ALL, 231424, 229572, 99.200%

Samples, 231424
Benign, 74.72%
Attack, 25.28%
