Class, Alias, Occurance, Right, Accuracy
Botnet:ARES, 0, 76, 72, 94.737
Brute Force:FTP-Patator, 1, 26, 1, 3.846
Brute Force:SSH-Patator, 2, 256, 249, 97.266
DDoS:LOIT, 3, 9452, 9452, 100.000
DoS / DDoS:DoS GoldenEye, 4, 747, 747, 100.000
DoS / DDoS:DoS Hulk, 5, 23395, 23394, 99.996
DoS / DDoS:DoS Slowhttptest, 6, 422, 419, 99.289
DoS / DDoS:DoS slowloris, 7, 388, 387, 99.742
DoS / DDoS:Heartbleed, 8, 0, 0, 100.000
Infiltration:Dropbox download - (Portscan + Nmap) from victim, 9, 7638, 6982, 91.411
Normal, 10, 172923, 172577, 99.800
PortScan:PortScan - Firewall off, 11, 15994, 15905, 99.444
PortScan:PortScan - Firewall on, 12, 38, 25, 65.789
Web Attack:Sql Injection, 13, 1, 1, 100.000
Web Attack:XSS, 14, 68, 0, 0.000
Benign, 10, 172923, 172577, 99.800%
Attack, !10, 58501, 57634, 98.518%
Overall, ALL, 231424, 230211, 99.476%

Samples, 231424
Benign, 74.72%
Attack, 25.28%
