Class, Alias, Occurance, Right, Accuracy
Botnet:ARES, 0, 75, 72, 96.000
Brute Force:FTP-Patator, 1, 26, 1, 3.846
Brute Force:SSH-Patator, 2, 256, 254, 99.219
DDoS:LOIT, 3, 9449, 9449, 100.000
DoS / DDoS:DoS GoldenEye, 4, 747, 745, 99.732
DoS / DDoS:DoS Hulk, 5, 23399, 23397, 99.991
DoS / DDoS:DoS Slowhttptest, 6, 422, 420, 99.526
DoS / DDoS:DoS slowloris, 7, 388, 387, 99.742
DoS / DDoS:Heartbleed, 8, 0, 0, 100.000
Infiltration:Dropbox download - (Portscan + Nmap) from victim, 9, 7635, 7159, 93.766
Normal, 10, 172932, 172624, 99.822
PortScan:PortScan - Firewall off, 11, 15988, 15794, 98.787
PortScan:PortScan - Firewall on, 12, 38, 32, 84.211
Web Attack:Sql Injection, 13, 1, 1, 100.000
Web Attack:XSS, 14, 68, 35, 51.471
Benign, 10, 172932, 172624, 99.822%
Attack, !10, 58492, 57746, 98.725%
Overall, ALL, 231424, 230370, 99.545%

Samples, 231424
Benign, 74.73%
Attack, 25.27%
