Class, Alias, Occurance, Right, Accuracy
Botnet:ARES, 0, 76, 74, 97.368
Brute Force:FTP-Patator, 1, 26, 26, 100.000
Brute Force:SSH-Patator, 2, 256, 252, 98.438
DDoS:LOIT, 3, 9449, 9431, 99.810
DoS / DDoS:DoS GoldenEye, 4, 747, 669, 89.558
DoS / DDoS:DoS Hulk, 5, 23395, 16355, 69.908
DoS / DDoS:DoS Slowhttptest, 6, 422, 422, 100.000
DoS / DDoS:DoS slowloris, 7, 389, 376, 96.658
DoS / DDoS:Heartbleed, 8, 0, 0, 100.000
Infiltration:Dropbox download - (Portscan + Nmap) from victim, 9, 7637, 6306, 82.572
Normal, 10, 172930, 168965, 97.707
PortScan:PortScan - Firewall off, 11, 15990, 14298, 89.418
PortScan:PortScan - Firewall on, 12, 38, 28, 73.684
Web Attack:Sql Injection, 13, 1, 1, 100.000
Web Attack:XSS, 14, 68, 62, 91.176
Benign, 10, 172930, 168965, 97.707%
Attack, !10, 58494, 48300, 82.573%
Overall, ALL, 231424, 217265, 93.882%

Samples, 231424
Benign, 74.72%
Attack, 25.28%
