Class, Alias, Occurance, Right, Accuracy
Botnet:ARES, 0, 76, 75, 98.684
Brute Force:FTP-Patator, 1, 26, 26, 100.000
Brute Force:SSH-Patator, 2, 256, 252, 98.438
DDoS:LOIT, 3, 9450, 9301, 98.423
DoS / DDoS:DoS GoldenEye, 4, 746, 719, 96.381
DoS / DDoS:DoS Hulk, 5, 23398, 16998, 72.647
DoS / DDoS:DoS Slowhttptest, 6, 422, 415, 98.341
DoS / DDoS:DoS slowloris, 7, 388, 387, 99.742
DoS / DDoS:Heartbleed, 8, 0, 0, 100.000
Infiltration:Dropbox download - (Portscan + Nmap) from victim, 9, 7635, 5780, 75.704
Normal, 10, 172926, 169248, 97.873
PortScan:PortScan - Firewall off, 11, 15994, 13606, 85.069
PortScan:PortScan - Firewall on, 12, 38, 23, 60.526
Web Attack:Sql Injection, 13, 1, 1, 100.000
Web Attack:XSS, 14, 68, 54, 79.412
Benign, 10, 172926, 169248, 97.873%
Attack, !10, 58498, 47637, 81.434%
Overall, ALL, 231424, 216885, 93.718%

Samples, 231424
Benign, 74.72%
Attack, 25.28%
