Hyperparameters,
Epochs Supervised, 600
Epochs Pretraining, 10
Batch size, 128
Proxy task, COMPOSITE
Pretraining percentage, 80.00 %
Training percentage, 10.00 %
Validation percentage, 10.00 %
Specialized subset, 10_flows
Learning rate, 0.001
Random Seed, 500

Modelparameters,
Hidden size, 512
# Layers, 3

Performance metrics,
Accuracy, 93.718 %
False alarm rate, 7.167 %
Missed alarm rate, 18.566 %
Detection rate, 81.434 %
Precision, 92.833 %
Specificity, 97.873 %
Recall, 92.833 %
F1-Measure, 92.833 %
