Class, Alias, Occurance, Right, Accuracy
Botnet:ARES, 0, 76, 75, 98.684
Brute Force:FTP-Patator, 1, 26, 26, 100.000
Brute Force:SSH-Patator, 2, 255, 253, 99.216
DDoS:LOIT, 3, 9450, 9351, 98.952
DoS / DDoS:DoS GoldenEye, 4, 747, 715, 95.716
DoS / DDoS:DoS Hulk, 5, 23392, 15424, 65.937
DoS / DDoS:DoS Slowhttptest, 6, 421, 387, 91.924
DoS / DDoS:DoS slowloris, 7, 389, 365, 93.830
DoS / DDoS:Heartbleed, 8, 0, 0, 100.000
Infiltration:Dropbox download - (Portscan + Nmap) from victim, 9, 7640, 4802, 62.853
Normal, 10, 172932, 169539, 98.038
PortScan:PortScan - Firewall off, 11, 15989, 13841, 86.566
PortScan:PortScan - Firewall on, 12, 38, 27, 71.053
Web Attack:Sql Injection, 13, 1, 1, 100.000
Web Attack:XSS, 14, 68, 60, 88.235
Benign, 10, 172932, 169539, 98.038%
Attack, !10, 58492, 45327, 77.493%
Overall, ALL, 231424, 214866, 92.845%

Samples, 231424
Benign, 74.73%
Attack, 25.27%
