Hyperparameters,
Epochs Supervised, 600
Epochs Pretraining, 10
Batch size, 128
Proxy task, OBSCURE
Pretraining percentage, 80.00 %
Training percentage, 10.00 %
Validation percentage, 10.00 %
Specialized subset, 10_flows
Learning rate, 0.001
Random Seed, 500

Modelparameters,
Hidden size, 512
# Layers, 3

Performance metrics,
Accuracy, 92.845 %
False alarm rate, 6.964 %
Missed alarm rate, 22.507 %
Detection rate, 77.493 %
Precision, 93.036 %
Specificity, 98.038 %
Recall, 93.036 %
F1-Measure, 93.036 %
