Class, Alias, Occurance, Right, Accuracy
Botnet:ARES, 0, 76, 76, 100.000
Brute Force:FTP-Patator, 1, 26, 25, 96.154
Brute Force:SSH-Patator, 2, 255, 253, 99.216
DDoS:LOIT, 3, 9450, 9194, 97.291
DoS / DDoS:DoS GoldenEye, 4, 747, 737, 98.661
DoS / DDoS:DoS Hulk, 5, 23392, 16983, 72.602
DoS / DDoS:DoS Slowhttptest, 6, 421, 421, 100.000
DoS / DDoS:DoS slowloris, 7, 389, 388, 99.743
DoS / DDoS:Heartbleed, 8, 0, 0, 100.000
Infiltration:Dropbox download - (Portscan + Nmap) from victim, 9, 7640, 6201, 81.165
Normal, 10, 172932, 170715, 98.718
PortScan:PortScan - Firewall off, 11, 15989, 13448, 84.108
PortScan:PortScan - Firewall on, 12, 38, 33, 86.842
Web Attack:Sql Injection, 13, 1, 1, 100.000
Web Attack:XSS, 14, 68, 53, 77.941
Benign, 10, 172932, 170715, 98.718%
Attack, !10, 58492, 47813, 81.743%
Overall, ALL, 231424, 218528, 94.428%

Samples, 231424
Benign, 74.73%
Attack, 25.27%
