Hyperparameters,
Epochs Supervised, 600
Epochs Pretraining, 10
Batch size, 128
Proxy task, PREDICT
Pretraining percentage, 80.00 %
Training percentage, 10.00 %
Validation percentage, 10.00 %
Specialized subset, 10_flows
Learning rate, 0.001
Random Seed, 500

Modelparameters,
Hidden size, 512
# Layers, 3

Performance metrics,
Accuracy, 94.428 %
False alarm rate, 4.431 %
Missed alarm rate, 18.257 %
Detection rate, 81.743 %
Precision, 95.569 %
Specificity, 98.718 %
Recall, 95.569 %
F1-Measure, 95.569 %
