Hyperparameters,
Epochs Supervised, 200
Epochs Pretraining, 10
Batch size, 1024
Proxy task, MASK
Pretraining percentage, 80.00 %
Training percentage, 1.00 %
Validation percentage, 10.00 %
Specialized subset, 
Learning rate, 0.001
Random Seed, 500

Modelparameters,
# Layers, 10
# Heads, 3
Forward expansion, 2
Dropout, 0.0

Training metrics,
Best epoch, 129
Time to best epoch, 0h 41m

Performance metrics,
Accuracy, 98.165 %
False alarm rate, 33.792 %
Missed alarm rate, 1.740 %
Detection rate, 98.260 %
Precision, 66.208 %
Specificity, 98.162 %
Recall, 98.260 %
F1-Measure, 79.111 %
