Hyperparameters,
Epochs Supervised, 50
Epochs Pretraining, 10
Batch size, 1024
Proxy task, OBSCURE
Pretraining percentage, 80.00 %
Training percentage, 10.00 %
Validation percentage, 10.00 %
Specialized subset, 
Learning rate, 0.001
Random Seed, 500

Modelparameters,
# Layers, 10
# Heads, 3
Forward expansion, 2
Dropout, 0.0

Training metrics,
Best epoch, 48
Time to best epoch, 1h 9m

Performance metrics,
Accuracy, 98.184 %
False alarm rate, 33.663 %
Missed alarm rate, 1.103 %
Detection rate, 98.897 %
Precision, 66.337 %
Specificity, 98.157 %
Recall, 98.897 %
F1-Measure, 79.409 %
