Class, #, Occurance, Right, NONE
Botnet ARES, 0, 76, 73, 96.053%
FTP-Patator, 1, 26, 1, 3.846%
SSH-Patator, 2, 254, 234, 92.126%
DDoS LOIT, 3, 9380, 9374, 99.936%
DoS GoldenEye, 4, 740, 714, 96.486%
DoS Hulk, 5, 23191, 23184, 99.970%
DoS Slowhttptest, 6, 419, 412, 98.329%
DoS slowloris, 7, 382, 360, 94.241%
Heartbleed, 8, 0, 0, 100.000%
Infiltration, 9, 7565, 7008, 92.637%
Benign, 10, 171354, 170282, 99.374%
PortScan - Firewall off, 11, 15883, 15841, 99.736%
PortScan - Firewall on, 12, 37, 32, 86.486%
SQL Injection, 13, 1, 0, 0.000%
XSS, 14, 68, 0, 0.000%

Benign, 10, 171354, 170282, 99.374%
Attack, !10, 58022, 57233, 98.640%
Overall, ALL, 229376, 227515, 99.189%
