Hyperparameters,
Epochs Supervised, 200
Epochs Pretraining, 10
Batch size, 1024
Proxy task, OBSCURE
Pretraining percentage, 80.00 %
Training percentage, 1.00 %
Validation percentage, 10.00 %
Specialized subset, 
Learning rate, 0.001
Random Seed, 500

Modelparameters,
# Layers, 10
# Heads, 3
Forward expansion, 2
Dropout, 0.0

Training metrics,
Best epoch, 97
Time to best epoch, 0h 34m

Performance metrics,
Accuracy, 99.084 %
False alarm rate, 2.312 %
Missed alarm rate, 1.288 %
Detection rate, 98.712 %
Precision, 97.688 %
Specificity, 99.209 %
Recall, 97.688 %
F1-Measure, 97.688 %
