Hyperparameters,
Epochs Supervised, 50
Epochs Pretraining, 50
Batch size, 1024
Proxy task, NONE
Pretraining percentage, 0.00 %
Training percentage, 10.00 %
Validation percentage, 10.00 %
Specialized subset, 
Learning rate, 0.001
Random Seed, 500

Modelparameters,
# Layers, 10
# Heads, 3
Forward expansion, 2
Dropout, 0.0

Training metrics,
Best epoch, 47
Time to best epoch, 1h 15m

Performance metrics,
Accuracy, 99.448 %
False alarm rate, 0.764 %
Missed alarm rate, 1.424 %
Detection rate, 98.576 %
Precision, 99.236 %
Specificity, 99.743 %
Recall, 98.576 %
F1-Measure, 98.905 %
