,,,NONE,,MASK,,OBSCURE,
Class, Alias, Occurance, Right, Accuracy, Accuracy, Right, Accuracy, Right
Analysis, 0, 52, 13, 25.000, 19.231, 10, 100.000, 53
Backdoors, 1, 40, 40, 100.000, 7.500, 3, 85.000, 34
DoS, 2, 391, 342, 87.468, 18.066, 71, 97.222, 385
Exploits, 3, 2901, 2724, 93.899, 14.340, 417, 98.383, 2859
Fuzzers, 4, 2067, 1520, 73.537, 31.864, 658, 99.517, 2061
Generic, 5, 428, 411, 96.028, 30.374, 130, 98.829, 422
Normal, 6, 197558, 195440, 98.928, 99.326, 196216, 98.157, 193907
Reconnaissance, 7, 1189, 1160, 97.561, 42.617, 508, 99.916, 1187
Shellcode, 8, 155, 153, 98.710, 52.903, 82, 100.000, 153
Worms, 9, 19, 18, 94.737, 15.789, 3, 100.000, 19
Benign, 6, 197558, 195440, 98.928%, 99.326%, 196216, 98.157%, 193907
Attack, !6, 7242, 6381, 88.111%, 25.951%, 1882, 98.897%, 7173
Overall, ALL, 204800, 201821, 98.545%, 96.728%, 198098, 98.184%, 201080
