, NONE, MASK, OBSCURE
Hyperparameters,,,
Epochs Supervised, 50, 50, 50
Epochs Pretraining, 50, 10, 10
Batch size, 1024, 1024, 1024
Proxy task, NONE, MASK, OBSCURE
Pretraining percentage, 0.00 %, 80.00 %, 80.00 %
Training percentage, 10.00 %, 10.00 %, 10.00 %
Validation percentage, 10.00 %, 10.00 %, 10.00 %
Specialized subset, , , 
Learning rate, 0.001, 0.001, 0.001
Random Seed, 500, 500, 500

Modelparameters,,,
# Layers, 10, 10, 10
# Heads, 3, 3, 3
Forward expansion, 2, 2, 2
Dropout, 0.0, 0.0, 0.0

Training metrics,,,
Best epoch, 47, 1, 48
Time to best epoch, 1h 6m, 0h 2m, 1h 9m

Performance metrics,,,
Accuracy, 98.545 %, 96.728 %, 98.184 %
False alarm rate, 24.921 %, 41.444 %, 33.663 %
Missed alarm rate, 11.889 %, 74.049 %, 1.103 %
Detection rate, 88.111 %, 25.951 %, 98.897 %
Precision, 75.079 %, 58.556 %, 66.337 %
Specificity, 98.928 %, 99.326 %, 98.157 %
Recall, 88.111 %, 25.951 %, 98.897 %
F1-Measure, 81.075 %, 35.964 %, 79.409 %
