,,,NONE,,MASK,,OBSCURE,
Class, Alias, Occurance, Right, Accuracy, Accuracy, Right, Accuracy, Right
Analysis, 0, 52, 39, 75.000, 0.000, 0, 75.000, 39
Backdoors, 1, 40, 29, 72.500, 0.000, 0, 62.500, 25
DoS, 2, 395, 267, 67.595, 0.000, 0, 72.379, 283
Exploits, 3, 2906, 1941, 66.793, 0.000, 0, 77.509, 2247
Fuzzers, 4, 2069, 895, 43.258, 0.000, 0, 43.367, 899
Generic, 5, 423, 287, 67.849, 0.000, 0, 70.794, 303
Normal, 6, 197555, 195788, 99.106, 100.000, 197573, 99.053, 195690
Reconnaissance, 7, 1186, 655, 55.228, 0.000, 0, 46.206, 548
Shellcode, 8, 155, 138, 89.032, 0.000, 0, 92.715, 140
Worms, 9, 19, 17, 89.474, 0.000, 0, 78.947, 15
Benign, 6, 197555, 195788, 99.106%, 100.000%, 197573, 99.053%, 195690
Attack, !6, 7245, 4268, 58.910%, 0.000%, 0, 62.149%, 4499
Overall, ALL, 204800, 200056, 97.684%, 96.471%, 197573, 97.749%, 200189
