, NONE, MASK, OBSCURE
Hyperparameters,,,
Epochs Supervised, 50, 50, 50
Epochs Pretraining, 50, 10, 10
Batch size, 1024, 1024, 1024
Proxy task, NONE, MASK, OBSCURE
Pretraining percentage, 0.00 %, 80.00 %, 80.00 %
Training percentage, 10.00 %, 10.00 %, 10.00 %
Validation percentage, 10.00 %, 10.00 %, 10.00 %
Specialized subset, , , 
Learning rate, 0.001, 0.001, 0.001
Random Seed, 500, 500, 500

Modelparameters,,,
# Layers, 10, 10, 10
# Heads, 3, 3, 3
Forward expansion, 2, 2, 2
Dropout, 0.0, 0.0, 0.0

Training metrics,,,
Best epoch, 47, 49, 47
Time to best epoch, 1h 15m, 1h 18m, 1h 15m

Performance metrics,,,
Accuracy, 99.448 %, 99.411 %, 98.743 %
False alarm rate, 0.764 %, 0.921 %, 2.854 %
Missed alarm rate, 1.424 %, 1.416 %, 2.095 %
Detection rate, 98.576 %, 98.584 %, 97.905 %
Precision, 99.236 %, 99.079 %, 97.146 %
Specificity, 99.743 %, 99.690 %, 99.027 %
Recall, 98.576 %, 98.584 %, 97.905 %
F1-Measure, 98.905 %, 98.831 %, 97.524 %
