Class, Alias, Occurance, Right, Accuracy
Botnet ARES, 0, 76, 73, 96.053%
FTP-Patator, 1, 26, 0, 0.000%
SSH-Patator, 2, 255, 250, 98.039%
DDoS LOIT, 3, 9362, 9362, 100.000%
DoS GoldenEye, 4, 740, 739, 99.865%
DoS Hulk, 5, 23178, 23167, 99.953%
DoS Slowhttptest, 6, 420, 419, 99.762%
DoS slowloris, 7, 388, 367, 94.588%
Heartbleed, 8, 0, 0, 100.000%
Infiltration, 9, 7553, 6917, 91.580%
Benign, 10, 171410, 170696, 99.583%
PortScan - Firewall off, 11, 15862, 15749, 99.288%
PortScan - Firewall on, 12, 37, 18, 48.649%
SQL Injection, 13, 1, 0, 0.000%
XSS, 14, 68, 32, 47.059%

Benign, 10, 171410, 170696, 99.583%
Attack, !10, 57966, 57093, 98.494%
Overall, ALL, 229376, 227789, 99.308%
