Class, Alias, Occurance, Right, Accuracy
Botnet ARES, 0, 75, 75, 100.000%
FTP-Patator, 1, 26, 26, 100.000%
SSH-Patator, 2, 252, 252, 100.000%
DDoS LOIT, 3, 9369, 8158, 87.074%
DoS GoldenEye, 4, 740, 671, 90.676%
DoS Hulk, 5, 23207, 21969, 94.665%
DoS Slowhttptest, 6, 420, 406, 96.667%
DoS slowloris, 7, 385, 329, 85.455%
Heartbleed, 8, 0, 0, 100.000%
Infiltration, 9, 7551, 6198, 82.082%
Benign, 10, 171394, 166661, 97.239%
PortScan - Firewall off, 11, 15852, 14945, 94.278%
PortScan - Firewall on, 12, 36, 31, 86.111%
SQL Injection, 13, 1, 1, 100.000%
XSS, 14, 68, 44, 64.706%

Benign, 10, 171394, 166661, 97.239%
Attack, !10, 57982, 53105, 91.589%
Overall, ALL, 229376, 219766, 95.810%
