Experiment #,Group,Model,Dataset,Benign Category,Max Depth,Random Seed,Training %
Experiment #,Group,Model,-f,-c,-m,--random_seed,-p
90.00%,flows_depth5,dt,./data/flows.pickle,10,5,500,900
90.00%,flows_depth20,dt,./data/flows.pickle,10,20,500,900
10.00%,flows_depth5,dt,./data/flows.pickle,10,5,500,100
10.00%,flows_depth20,dt,./data/flows.pickle,10,20,500,100
1.00%,flows_depth5,dt,./data/flows.pickle,10,5,500,10
1.00%,flows_depth20,dt,./data/flows.pickle,10,20,500,10
90.00%,flows15_depth5,dt,./data/flows15.pickle,6,5,500,900
90.00%,flows15_depth16,dt,./data/flows15.pickle,6,16,500,900
10.00%,flows15_depth5,dt,./data/flows15.pickle,6,5,500,100
10.00%,flows15_depth16,dt,./data/flows15.pickle,6,16,500,100
1.00%,flows15_depth5,dt,./data/flows15.pickle,6,5,500,10
1.00%,flows15_depth16,dt,./data/flows15.pickle,6,16,500,10
