Experiment #,Group,Model,Dataset,Proxy Task,Benign Category,Random Seed,Batch Size,Training %,Training Epochs,Validation Epochs,Subset File,Pretraining %,Pretraining Epochs,PDP File,Neurons File
Experiment #,Group,Model,-f,-y,-c,--random_seed,-b,-p,-e,-V,-G,-s,-E,-P,-N
1.1.1,|flows_supervised,lstm,./data/flows.pickle,NONE,10,500,128,900,50,-1,,0,0,,
2.1.1,flows_10|flows_supervised,lstm,./data/flows.pickle,NONE,10,500,128,100,50,-1,,0,0,,
2.1.2,flows_10,lstm,./data/flows.pickle,PREDICT,10,500,128,100,50,-1,,800,10,,
2.1.3,flows_10,lstm,./data/flows.pickle,OBSCURE,10,500,128,100,50,-1,,800,10,,
2.1.4,flows_10,lstm,./data/flows.pickle,AUTO,10,500,128,100,50,-1,,800,10,,
2.1.5,flows_10,lstm,./data/flows.pickle,ID,10,500,128,100,50,-1,,800,10,,
2.1.6,flows_10,lstm,./data/flows.pickle,COMPOSITE,10,500,128,100,50,-1,,800,10,,
2.2.1,flows_1|flows_supervised,lstm,./data/flows.pickle,NONE,10,500,128,10,200,-1,,0,0,,
2.2.2,flows_1,lstm,./data/flows.pickle,PREDICT,10,500,128,10,200,-1,,800,10,,
2.2.3,flows_1,lstm,./data/flows.pickle,OBSCURE,10,500,128,10,200,-1,,800,10,,
2.2.4,flows_1,lstm,./data/flows.pickle,AUTO,10,500,128,10,200,-1,,800,10,,
2.2.5,flows_1,lstm,./data/flows.pickle,ID,10,500,128,10,200,-1,,800,10,,
2.2.6,flows_1,lstm,./data/flows.pickle,COMPOSITE,10,500,128,10,200,-1,,800,10,,
2.3.1,flows_subset|flows_supervised,lstm,./data/flows.pickle,NONE,10,500,128,100,600,-1,./subsets/10_flows.json,0,0,./data/flows_pdp.json,./data/flows_neurons.json
2.3.2,flows_subset,lstm,./data/flows.pickle,PREDICT,10,500,128,100,600,-1,./subsets/10_flows.json,800,10,./data/flows_pdp.json,./data/flows_neurons.json
2.3.3,flows_subset,lstm,./data/flows.pickle,OBSCURE,10,500,128,100,600,-1,./subsets/10_flows.json,800,10,./data/flows_pdp.json,./data/flows_neurons.json
2.3.4,flows_subset,lstm,./data/flows.pickle,AUTO,10,500,128,100,600,-1,./subsets/10_flows.json,800,10,./data/flows_pdp.json,./data/flows_neurons.json
2.3.5,flows_subset,lstm,./data/flows.pickle,ID,10,500,128,100,600,-1,./subsets/10_flows.json,800,10,./data/flows_pdp.json,./data/flows_neurons.json
2.3.6,flows_subset,lstm,./data/flows.pickle,COMPOSITE,10,500,128,100,600,-1,./subsets/10_flows.json,800,10,./data/flows_pdp.json,./data/flows_neurons.json
1.1.2,|flows15_supervised,lstm,./data/flows15.pickle,NONE,6,500,128,900,50,-1,,0,0,,
2.4.1,flows15_10|flows15_supervised,lstm,./data/flows15.pickle,NONE,6,500,128,100,50,-1,,0,0,,
2.4.2,flows15_10,lstm,./data/flows15.pickle,PREDICT,6,500,128,100,50,-1,,800,10,,
2.4.3,flows15_10,lstm,./data/flows15.pickle,OBSCURE,6,500,128,100,50,-1,,800,10,,
2.4.4,flows15_10,lstm,./data/flows15.pickle,AUTO,6,500,128,100,50,-1,,800,10,,
2.4.5,flows15_10,lstm,./data/flows15.pickle,ID,6,500,128,100,50,-1,,800,10,,
2.4.6,flows15_10,lstm,./data/flows15.pickle,COMPOSITE,6,500,128,100,50,-1,,800,10,,
2.5.1,flows15_1|flows15_supervised,lstm,./data/flows15.pickle,NONE,6,500,128,10,200,-1,,0,0,,
2.5.2,flows15_1,lstm,./data/flows15.pickle,PREDICT,6,500,128,10,200,-1,,800,10,,
2.5.3,flows15_1,lstm,./data/flows15.pickle,OBSCURE,6,500,128,10,200,-1,,800,10,,
2.5.4,flows15_1,lstm,./data/flows15.pickle,AUTO,6,500,128,10,200,-1,,800,10,,
2.5.5,flows15_1,lstm,./data/flows15.pickle,ID,6,500,128,10,200,-1,,800,10,,
2.5.6,flows15_1,lstm,./data/flows15.pickle,COMPOSITE,6,500,128,10,200,-1,,800,10,,
2.6.1,flows15_subset|flows15_supervised,lstm,./data/flows15.pickle,NONE,6,500,128,100,600,-1,./subsets/10_flows15.json,0,0,./data/flows15_pdp.json,./data/flows15_neurons.json
2.6.2,flows15_subset,lstm,./data/flows15.pickle,PREDICT,6,500,128,100,600,-1,./subsets/10_flows15.json,800,10,./data/flows15_pdp.json,./data/flows15_neurons.json
2.6.3,flows15_subset,lstm,./data/flows15.pickle,OBSCURE,6,500,128,100,600,-1,./subsets/10_flows15.json,800,10,./data/flows15_pdp.json,./data/flows15_neurons.json
2.6.4,flows15_subset,lstm,./data/flows15.pickle,AUTO,6,500,128,100,600,-1,./subsets/10_flows15.json,800,10,./data/flows15_pdp.json,./data/flows15_neurons.json
2.6.5,flows15_subset,lstm,./data/flows15.pickle,ID,6,500,128,100,600,-1,./subsets/10_flows15.json,800,10,./data/flows15_pdp.json,./data/flows15_neurons.json
2.6.6,flows15_subset,lstm,./data/flows15.pickle,COMPOSITE,6,500,128,100,600,-1,./subsets/10_flows15.json,800,10,./data/flows15_pdp.json,./data/flows15_neurons.json
