Class, Alias, Occurance, Right, Accuracy
Botnet:ARES, 0, 76, 75, 98.684
Brute Force:FTP-Patator, 1, 26, 26, 100.000
Brute Force:SSH-Patator, 2, 256, 255, 99.609
DDoS:LOIT, 3, 9451, 8942, 94.614
DoS / DDoS:DoS GoldenEye, 4, 747, 704, 94.244
DoS / DDoS:DoS Hulk, 5, 23394, 23203, 99.184
DoS / DDoS:DoS Slowhttptest, 6, 422, 409, 96.919
DoS / DDoS:DoS slowloris, 7, 389, 362, 93.059
DoS / DDoS:Heartbleed, 8, 0, 0, 100.000
Infiltration:Dropbox download - (Portscan + Nmap) from victim, 9, 7637, 6604, 86.474
Normal, 10, 172928, 167469, 96.843
PortScan:PortScan - Firewall off, 11, 15991, 15696, 98.155
PortScan:PortScan - Firewall on, 12, 38, 33, 86.842
Web Attack:Sql Injection, 13, 1, 0, 0.000
Web Attack:XSS, 14, 68, 37, 54.412
Benign, 10, 172928, 167469, 96.843%
Attack, !10, 58496, 56346, 96.325%
Overall, ALL, 231424, 223815, 96.712%

Samples, 231424
Benign, 74.72%
Attack, 25.28%
