Class, Alias, Occurance, Right, Accuracy
Botnet:ARES, 0, 76, 76, 100.000
Brute Force:FTP-Patator, 1, 26, 26, 100.000
Brute Force:SSH-Patator, 2, 256, 237, 92.578
DDoS:LOIT, 3, 9447, 9443, 99.958
DoS / DDoS:DoS GoldenEye, 4, 746, 727, 97.453
DoS / DDoS:DoS Hulk, 5, 23393, 18657, 79.755
DoS / DDoS:DoS Slowhttptest, 6, 422, 417, 98.815
DoS / DDoS:DoS slowloris, 7, 389, 378, 97.172
DoS / DDoS:Heartbleed, 8, 0, 0, 100.000
Infiltration:Dropbox download - (Portscan + Nmap) from victim, 9, 7639, 6300, 82.472
Normal, 10, 172931, 168911, 97.675
PortScan:PortScan - Firewall off, 11, 15992, 15574, 97.386
PortScan:PortScan - Firewall on, 12, 38, 30, 78.947
Web Attack:Sql Injection, 13, 1, 1, 100.000
Web Attack:XSS, 14, 68, 59, 86.765
Benign, 10, 172931, 168911, 97.675%
Attack, !10, 58493, 51925, 88.771%
Overall, ALL, 231424, 220836, 95.425%

Samples, 231424
Benign, 74.72%
Attack, 25.28%
